,id,text,createTime,musicMeta.musicName,videoUrl,videoMeta.duration,shareCount,playCount,commentCount,downloaded,hashtags
0,6887696440777379073,#batman #robin  #adamwest #burtward #viiptoys,1603666800,Batman (Main Theme),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/eaed09f94165455a872805ecb356c923/?a=1988&br=3116&bt=1558&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828373&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M284dDl0a24zeDMzOTczM0ApNjY7NmQ5NmVpNzYzPDhkZmdqbjVsbmdeM19fLS02MTRzczZiX2I2Ly1hMWI0NS8yNS06Yw%3D%3D&signature=d6ba4b10c52888a1e084f58a52a20927&tk=tt_webid_v2&vl=&vr=,50,19,5852,9,True,"[{""id"":""18112"",""name"":""batman"",""title"":"""",""cover"":""""},{""id"":""41462"",""name"":""robin"",""title"":"""",""cover"":""""},{""id"":""20380486"",""name"":""adamwest"",""title"":"""",""cover"":""""},{""id"":""73571883"",""name"":""burtward"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
1,6879836400221572354,#Batman #viiptoys #eggattack #beastkingdom @beastkingdomofficial,1601836739,Batman (Main Theme),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/154bb939e745444982c0505f280457a9/?a=1988&br=2732&bt=1366&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828358&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M2l0ZWYzNWg0dzMzNzczM0ApPDw3aTZlZjwzNzc3NWY7M2cvamZya2xqYXFfLS1eMTRzc2ItMWAvMjBeYC0zYS9hMzM6Yw%3D%3D&signature=f0103e035d47157e897d02c57dae71b2&tk=tt_webid_v2&vl=&vr=,35,3,7463,2,True,"[{""id"":""18112"",""name"":""batman"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""1619794474186757"",""name"":""eggattack"",""title"":"""",""cover"":""""},{""id"":""1619395887412230"",""name"":""beastkingdom"",""title"":"""",""cover"":""""}]"
2,6877292730809191681,#batman #hottoys #viiptoys #parati #foryou #unboxing #dccomics #bvs,1601244497,Batman,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/bb9ea0180e6e4ca9b35035a1ac44727b/?a=1988&br=3380&bt=1690&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828340&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ajg1Njp3OGpqdzMzaDczM0ApOmhlNDllOzxpNzllOzY0NGdpbV82NnAybmxfLS0wMTRzc15hLzJgYF9eLWFgX2BjYWI6Yw%3D%3D&signature=1091a6ee79b5facd0f6330d15bc3e9cf&tk=tt_webid_v2&vl=&vr=,17,15,10500,8,True,"[{""id"":""18112"",""name"":""batman"",""title"":"""",""cover"":""""},{""id"":""65236247"",""name"":""hottoys"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""65243"",""name"":""parati"",""title"":"""",""cover"":""""},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":""""},{""id"":""460811"",""name"":""unboxing"",""title"":"""",""cover"":""""},{""id"":""80733"",""name"":""dccomics"",""title"":"""",""cover"":""""},{""id"":""1642059"",""name"":""bvs"",""title"":"""",""cover"":""""}]"
3,6876813822229761281,#giveway #giveawayinternacional #viiptoys Link de YouTube arriba 👆GANADORES INTERNACIONALES se enviará el valor de los coleccionables EN EFECTIVO 💵,1601132990,sonido original,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/26d9dbb4f04345a090dc15b50526b1aa/?a=1988&br=1784&bt=892&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828382&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M3d1ZDN1amVvdzMzOzczM0ApODllO2Y4NjtnNzM7OzZmNmdoL14yY2lrZ2tfLS0zMTRzczRhNjYxLjBjXzA1MWIvMDM6Yw%3D%3D&signature=74a5522f225316c79625aff2ff80b250&tk=tt_webid_v2&vl=&vr=,59,0,7636,3,True,"[{""id"":""69879"",""name"":""giveway"",""title"":"""",""cover"":""""},{""id"":""1678444434790402"",""name"":""giveawayinternacional"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
4,6876532109322751233,#hawkeye #avengers #viiptoys #hottoys,1601067400,Theme from the Avengers,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/951f475c74b547b9bf6424e23b6ce421/?a=1988&br=3008&bt=1504&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828333&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ang1M2g7ZjM4dzMzMzczM0ApaTo2PGQ3PDs7NzQ2OWc3NGduaDE1X3FgZ2tfLS0tMTRzczY2LWNjMi0vNC9iXl80MzY6Yw%3D%3D&signature=6218d212e865317e8e84b9484a6b284e&tk=tt_webid_v2&vl=&vr=,10,4,12000,1,True,"[{""id"":""85457"",""name"":""hawkeye"",""title"":"""",""cover"":""""},{""id"":""13035"",""name"":""avengers"",""title"":""Wondering how they did it? Reverse is the answer. Use this sound track and create your own avengers video!🦸‍♀️"",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""65236247"",""name"":""hottoys"",""title"":"""",""cover"":""""}]"
5,6874998667640589570,#turtleninja #neca #parati #foryou #viiptoys #replica #prop #brasil #mexico #argentina #usa #ecuador #tortugasninja,1600710369,Teenage Mutant Ninja Turtles (Main Title),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/19dce5f7d0114bf9b169cdfa13fe3133/?a=1988&br=3400&bt=1700&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828346&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ajo5N2pocG5odzMzNjczM0ApM2ZlZDY5NTw8Nzo6ZjxmZWcwNWJrMGIxYWhfLS1jMTRzcy01Yi9gXi1eMF9gXzU1NGI6Yw%3D%3D&signature=76537182de1168dcdc6f5c9e90f39e0b&tk=tt_webid_v2&vl=&vr=,23,8,42300,6,True,"[{""id"":""15178372"",""name"":""turtleninja"",""title"":"""",""cover"":""""},{""id"":""10910385"",""name"":""neca"",""title"":"""",""cover"":""""},{""id"":""65243"",""name"":""parati"",""title"":"""",""cover"":""""},{""id"":""42164"",""name"":""foryou"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""1359721"",""name"":""replica"",""title"":"""",""cover"":""""},{""id"":""93366"",""name"":""prop"",""title"":"""",""cover"":""""},{""id"":""27397"",""name"":""brasil"",""title"":""Cadê os brazucas do musical.ly?"",""cover"":""""},{""id"":""8181"",""name"":""mexico"",""title"":""México lindo y querido! 🇲🇽🇲🇽\n\nNo olvides utilizar el tag #mexico en tu video!"",""cover"":""""},{""id"":""40817"",""name"":""argentina"",""title"":"""",""cover"":""""},{""id"":""9843"",""name"":""usa"",""title"":"""",""cover"":""""},{""id"":""31306"",""name"":""ecuador"",""title"":"""",""cover"":""""},{""id"":""15883941"",""name"":""tortugasninja"",""title"":"""",""cover"":""""}]"
6,6874621197993250050,#Twd #thewalkingdead #amc #viiptoys #parati #ecuador #mexico #argentina,1600622484,Theme from the Walking Dead,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/164d81d3f12d488597b7e0c16f190792/?a=1988&br=3004&bt=1502&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828338&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ajxtcTY3b3lydzMzOTczM0ApNGRkO2VlZ2VoN2VlNDdoZmdxMjJhaW1tcmdfLS0zMTRzc15jLmNgMDFgMzI1LzY2YzQ6Yw%3D%3D&signature=775499d8c1bd5fcc30243c5652ab235a&tk=tt_webid_v2&vl=&vr=,15,31,14700,9,True,"[{""id"":""12626"",""name"":""twd"",""title"":"""",""cover"":""""},{""id"":""12553"",""name"":""thewalkingdead"",""title"":"""",""cover"":""""},{""id"":""66286"",""name"":""amc"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""65243"",""name"":""parati"",""title"":"""",""cover"":""""},{""id"":""31306"",""name"":""ecuador"",""title"":"""",""cover"":""""},{""id"":""8181"",""name"":""mexico"",""title"":""México lindo y querido! 🇲🇽🇲🇽\n\nNo olvides utilizar el tag #mexico en tu video!"",""cover"":""""},{""id"":""40817"",""name"":""argentina"",""title"":"""",""cover"":""""}]"
7,6873512704858918145,IG: Viiptoys  #starwars  #r2d2 #viiptoys @sideshowcollectibles,1600364392,Star Wars,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/1717220786d74db4b8f9f949f1d480b7/?a=1988&br=3346&bt=1673&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828373&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ajlsamh3OG1zdzMzZDczM0ApOmczOzM3M2Q4N2dmOjxoZGc1Y20tNnBhcmVfLS00MTRzcy1fX15hY2I1MDQ1MjIzYS86Yw%3D%3D&signature=385b1024b19fc2d1481cf45b151eea5c&tk=tt_webid_v2&vl=&vr=,50,1264,170300,112,True,"[{""id"":""6609"",""name"":""starwars"",""title"":""Who's excited for The Force Awakens? Get your Star Wars on!"",""cover"":""""},{""id"":""324120"",""name"":""r2d2"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
8,6873279224648649985,#captainamerica #peggycarter #viiptoys,1600310034,"Captain America: Civil War (""Cap's Promise"")",https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/d009bebeb3184149822edc393a0eefc4/?a=1988&br=2782&bt=1391&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828332&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=anJ1a3lueDRmdzMzZzczM0ApZjRlPDg3OWVoNzc3aDs7NWdeaDBiYWc2amVfLS1fMTRzc2MyNjYwYi4vMzYzLmFeXjI6Yw%3D%3D&signature=e3d826a287cbfbfc5ca790de9b6fa5f9&tk=tt_webid_v2&vl=&vr=,9,10,20900,2,True,"[{""id"":""27249"",""name"":""captainamerica"",""title"":"""",""cover"":""""},{""id"":""784193"",""name"":""peggycarter"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
9,6873105849389190401,#freddykrueger  #neca #viiptoys,1600269663,Freddy Krueger (Original Mix),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/457e9d6c1f1f4d939addbeb2d4c01af3/?a=1988&br=3654&bt=1827&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828338&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M3FraTZmam81dzMzMzczM0ApOjU2NzRmaGRlN2Y4aTY5OGdnMWhzYjNgbmVfLS1gMTRzczRjNDQwXjEtNjBjY2E0XmA6Yw%3D%3D&signature=74157836099967af7af25a36b3d37e44&tk=tt_webid_v2&vl=&vr=,15,39,152300,22,True,"[{""id"":""19650"",""name"":""freddykrueger"",""title"":"""",""cover"":""""},{""id"":""10910385"",""name"":""neca"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
10,6870349102513736961,#buckybarns #avengers #endgame #marvel #viiptoys,1599627837,Avengers: Forge Theme (From Avengers: Infinity War),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/8e77858dfd93492ca4a2c86674715e86/?a=1988&br=2980&bt=1490&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828351&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M3k0NXc6bGU5dzMzaTczM0ApODQ7ODxnOzw0NzczaDVmN2cxNF5jMm80MWBfLS1gMTRzczFeXzFhX2EtXi9gXy80Li86Yw%3D%3D&signature=03bf25a9c02fa7a104af1a5001182231&tk=tt_webid_v2&vl=&vr=,28,54,45500,26,True,"[{""id"":""17175034"",""name"":""buckybarns"",""title"":"""",""cover"":""""},{""id"":""13035"",""name"":""avengers"",""title"":""Wondering how they did it? Reverse is the answer. Use this sound track and create your own avengers video!🦸‍♀️"",""cover"":""""},{""id"":""16034"",""name"":""endgame"",""title"":"""",""cover"":""""},{""id"":""16276"",""name"":""marvel"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
11,6868330644204719361,#scooby #scoobydoo #themysterymachine #joeruby #viiptoys,1599157850,"Scooby-Doo, Where Are You?",https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/9d6d2a90408e4da3834da2eeac4512be/?a=1988&br=3090&bt=1545&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828336&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=aml3aTc5eWttdzMzNjczM0ApM2k4OTw0PDw2N2Y4Ozg0ZGdnYmNnMGlmXjVfLS0wMTRzczVgNTI0MjU2L2NeL2BgXjU6Yw%3D%3D&signature=57d3ba10829710e811ac5511f448ad0d&tk=tt_webid_v2&vl=&vr=,13,561,735100,111,True,"[{""id"":""86620"",""name"":""scooby"",""title"":"""",""cover"":""""},{""id"":""86435"",""name"":""scoobydoo"",""title"":"""",""cover"":""""},{""id"":""34185538"",""name"":""themysterymachine"",""title"":"""",""cover"":""""},{""id"":""1676234897321990"",""name"":""joeruby"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
12,6867335994832588034,#ironman #arcreactor #marvel #viiptoys #pepperpotts,1598926265,Iron Man,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/220a685cd60f445d9d04c8ea21e5f0a3/?a=1988&br=3258&bt=1629&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828371&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=anlkeGdsOHV0dzMzMzczM0ApZjRkNGY1OTw3N2Q7MzkzNGcwaG9nZ20ubjNfLS0wMTRzczRgNmMyNTFfL2IvNTAvXl86Yw%3D%3D&signature=e61bd77472974208bdbab0722624ff96&tk=tt_webid_v2&vl=&vr=,48,141,78500,26,True,"[{""id"":""13037"",""name"":""ironman"",""title"":"""",""cover"":""""},{""id"":""20640862"",""name"":""arcreactor"",""title"":"""",""cover"":""""},{""id"":""16276"",""name"":""marvel"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""21187629"",""name"":""pepperpotts"",""title"":"""",""cover"":""""}]"
13,6866511824578399489,#viiptoys #powerrangers #acetoys,1598734373,Go go power rangers,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/2f8081b7c14c4a319b6fba45713ab88d/?a=1988&br=2878&bt=1439&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828382&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=amQ8cmprb3ZldzMzNzczM0ApaDM4OWZlODs3N2dnNjxoZWctYmkvbjZfczJfLS1gMTRzczM0MGM1YTQuYS0uXjQwXzA6Yw%3D%3D&signature=256fb8fe0bd9d22c25c1a5644ece223b&tk=tt_webid_v2&vl=&vr=,59,179,184800,59,True,"[{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""255174"",""name"":""powerrangers"",""title"":"""",""cover"":""""},{""id"":""1676221412600834"",""name"":""acetoys"",""title"":"""",""cover"":""""}]"
14,6866441498376899841,#viiptoys #wakandaforever #blackpanther #chadwickboseman #rip,1598717997,Sad Piano,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/84bf1c4d7ad84d50968c75d0a0ef20d1/?a=1988&br=3436&bt=1718&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828368&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M2g0M3U0bzY7dzMzNjczM0ApOmhoNDM5ZDtoNzdnMzlpPGczZWRpYmJvLTJfLS0uMTRzcy4zXzJjY2FfMV4zNGEvYmA6Yw%3D%3D&signature=32949545af2b2444febe9b173d8170e8&tk=tt_webid_v2&vl=&vr=,45,42,99200,15,True,"[{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""89456770"",""name"":""wakandaforever"",""title"":""Wakanda Forever Salute NOW🔥🔥🔥"",""cover"":""""},{""id"":""3972000"",""name"":""blackpanther"",""title"":"""",""cover"":""""},{""id"":""34585987"",""name"":""chadwickboseman"",""title"":"""",""cover"":""""},{""id"":""5956"",""name"":""rip"",""title"":"""",""cover"":""""}]"
15,6866070206234578177,#viiptoys #turtlesninja #tortugasninja #neca,1598631550,Teenage Mutant Ninja Turtles Cartoon Opening Theme (1987),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/88fd80dfb4af49ed96f2d9c1c219f149/?a=1988&br=3496&bt=1748&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828337&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=ajR2b3I6bHZsdzMzOjczM0ApN2VoZDw8OGU7N2Q2aDhpN2doYjEvMm9zcDFfLS1iMTRzc2NeNjItLTNhM2M1MS8yNDM6Yw%3D%3D&signature=ab85aba83cc7797ff9983d36df84e3d4&tk=tt_webid_v2&vl=&vr=,14,49,101600,14,True,"[{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""3865785"",""name"":""turtlesninja"",""title"":"""",""cover"":""""},{""id"":""15883941"",""name"":""tortugasninja"",""title"":"""",""cover"":""""},{""id"":""10910385"",""name"":""neca"",""title"":"""",""cover"":""""}]"
16,6865803134158179585,#viiptoys #acetoys #powerrangers,1598569372,Go Go Power Rangers (Redux),https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/7bdf9cabbae84773a3ee293c7def0dad/?a=1988&br=3490&bt=1745&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828338&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M3l4eGhlcHY2dzMzODczM0ApaTtkPGRoPGQ0NzxpOTtlNGcwY2A1cC9iajFfLS0vMTRzczFjNDQxLjJeM2AtMjNeMjE6Yw%3D%3D&signature=2f4d6be7ed7d5bcbf13bd3bee10b89dd&tk=tt_webid_v2&vl=&vr=,15,552,2700000,435,True,"[{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""},{""id"":""1676221412600834"",""name"":""acetoys"",""title"":"""",""cover"":""""},{""id"":""255174"",""name"":""powerrangers"",""title"":"""",""cover"":""""}]"
17,6862033229923355905,#Batman #batmobile #batimovil #batman89 #viiptoys,1597691645,Batman (1989): Main Theme,https://v16-web.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/844490c4559d4ceea11b7a0a67f38fd2/?a=1988&br=1598&bt=799&cd=0%7C0%7C1&cr=0&cs=0&cv=1&dr=0&ds=3&er=&expire=1609828347&l=20210105003203010190185152200E1729&lr=tiktok_m&mime_type=video_mp4&policy=2&qs=0&rc=M3RqO25wPHZndjMzNTczM0ApNWZlPDloOjw8NzpnOTNoZGdlZHNvbm5gYXFfLS00MTRzczItYjMyLTA2Y2A0Nl4vLTU6Yw%3D%3D&signature=5a3ce919dbc49edb7f954ecc89a1e33b&tk=tt_webid_v2&vl=&vr=,24,15,39600,5,True,"[{""id"":""18112"",""name"":""batman"",""title"":"""",""cover"":""""},{""id"":""81393"",""name"":""batmobile"",""title"":"""",""cover"":""""},{""id"":""2147486"",""name"":""batimovil"",""title"":"""",""cover"":""""},{""id"":""1614817050942469"",""name"":""batman89"",""title"":"""",""cover"":""""},{""id"":""1664425455735814"",""name"":""viiptoys"",""title"":"""",""cover"":""""}]"
